# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f175/mafft//nt/ -f 175 -c 25 -o /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f175/mafft-trimmed
# Runtime:        05/07/2021 15:46:01
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f175/mafft/nt
# Sequence gappiness threshold:20
# Codon site gappiness threshold:25
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f175/mafft-trimmed-f175-seq20-site25
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-tests-rat/f175/mafft-trimmed-f175-seq20-site25/aln-stats-f175-seq20-site25.tab
# ----------------
# 05.07.2021 | 15:46:01 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000000514-mafft-cds.fa	188	200	180.1755319148936	186	1	53	0	1	200	200	0	135	200	198.37777777777777	133	1	0	6	1	38	38
ENSMUSP00000000834-mafft-cds.fa	188	141	69.97340425531915	135	18	97	0	0	122	95	28	91	113	108.37362637362638	78	6	0	10	0	7	3
ENSMUSP00000001027-mafft-cds.fa	188	906	736.9574468085107	188	0	64	0	3	906	862	94	124	812	756.7258064516129	124	0	0	17	2	549	548
ENSMUSP00000001284-mafft-cds.fa	188	45	27.090425531914892	57	14	187	1	0	18	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000001339-mafft-cds.fa	188	152	139.0531914893617	184	2	26	0	1	152	152	0	162	152	150.09876543209876	158	2	0	5	1	63	63
ENSMUSP00000001724-mafft-cds.fa	188	613	554.75	188	0	17	0	38	526	502	13	171	600	561.0760233918129	171	0	0	5	35	383	366
ENSMUSP00000003135-mafft-cds.fa	188	352	323.17021276595744	188	0	20	0	10	352	347	0	168	352	336.92261904761904	168	0	0	2	9	302	297
ENSMUSP00000003554-mafft-cds.fa	187	243	161.97860962566844	185	1	151	0	0	243	221	0	36	243	220.66666666666666	36	0	0	91	0	24	2
ENSMUSP00000003818-mafft-cds.fa	188	210	165.8244680851064	180	4	103	0	1	190	190	0	85	210	206.8	85	0	0	20	0	25	25
ENSMUSP00000004133-mafft-cds.fa	188	782	694.5106382978723	188	0	20	0	1	782	778	98	168	684	668.2916666666666	168	0	0	27	1	325	323
