# CDS alignment filter
# PYTHON VERSION: 3.8.8
# Script call:    06_aln_filter.py -i ../03-Alignments/exonerate-filter-tests/seq/mafft-nt/ -c 75 -o ../03-Alignments/exonerate-filter-tests/seq/filter
# Runtime:        03/21/2021 00:46:27
# ----------------
# IO OPTIONS
# Input CDS directory:    /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq/mafft-nt
# Sequence gappiness threshold:20
# Codon site gappiness threshold:75
# Output directory:       /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq/filter-seq20-site75
# Log file:               /mnt/beegfs/gt156213e/murinae-seq/03-Alignments/exonerate-filter-tests/seq/filter-seq20-site75/aln-stats.tab
# ----------------
# 03.21.2021 | 00:46:27 Beginning filter.
align	pre num seqs	pre codon aln length	pre avg nongap length	pre uniq seqs	pre ident seqs	pre gappy seqs	pre invariant sites	pre stop codons	pre percent sites with gap	pre gappy sites	sites filtered	post num seqs	post codon aln length	post avg nongap length	post uniq seqs	post ident seqs	post gappy seqs	post invariant sites	post stop codons	post percent sites with gap	post gappy sites
ENSMUSP00000039621-mafft-cds.fa	193	354	276.0673575129534	191	1	94	0	1	354	NA	0	99	354	314.65656565656565	99	0	NA	24	1	159	NA
ENSMUSP00000091532-mafft-cds.fa	193	972	842.860103626943	193	0	29	15	0	834	NA	37	164	935	864.1646341463414	164	0	NA	35	0	499	NA
ENSMUSP00000093758-mafft-cds.fa	194	1135	1012.7989690721649	194	0	13	17	1	908	NA	20	181	1115	1029.1767955801106	181	0	NA	33	1	669	NA
ENSMUSP00000155544-mafft-cds.fa	192	254	191.65104166666666	192	0	138	0	0	254	NA	0	54	254	232.24074074074073	54	0	NA	28	0	59	NA
ENSMUSP00000116756-mafft-cds.fa	192	267	209.140625	183	4	80	0	0	248	NA	0	112	267	240.72321428571428	109	1	NA	40	0	64	NA
ENSMUSP00000073691-mafft-cds.fa	194	754	491.97938144329896	194	0	173	0	1	754	NA	0	21	754	628.6666666666666	21	0	NA	299	0	252	NA
ENSMUSP00000081943-mafft-cds.fa	193	662	171.77720207253887	188	2	193	0	6	655	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMUSP00000049280-mafft-cds.fa	194	454	397.95360824742266	194	0	19	1	5	344	NA	24	175	430	405.8457142857143	175	0	NA	11	5	160	NA
ENSMUSP00000043587-mafft-cds.fa	127	57	27.834645669291337	75	15	126	0	0	48	NA	0	1	57	57.0	1	0	NA	57	0	0	NA
ENSMUSP00000057858-mafft-cds.fa	179	253	229.7486033519553	168	5	37	1	0	226	NA	0	142	253	250.95774647887325	131	5	NA	19	0	42	NA
ENSMUSP00000101714-mafft-cds.fa	194	1593	1277.5567010309278	194	0	72	36	2	1419	NA	0	122	1593	1357.7704918032787	122	0	NA	206	2	905	NA
ENSMUSP00000057312-mafft-cds.fa	192	148	96.52083333333333	131	12	101	5	11	100	NA	0	91	148	145.2967032967033	89	1	NA	20	10	10	NA
ENSMUSP00000022007-mafft-cds.fa	190	193	146.93157894736842	184	2	74	0	1	193	NA	0	116	193	181.25	112	1	NA	8	1	39	NA
ENSMUSP00000020776-mafft-cds.fa	193	267	187.24352331606218	186	3	132	0	2	267	NA	0	61	267	245.62295081967213	61	0	NA	22	2	70	NA
ENSMUSP00000123155-mafft-cds.fa	190	125	113.46842105263158	139	17	34	0	0	125	NA	0	156	125	122.91666666666667	109	15	NA	22	0	27	NA
ENSMUSP00000061893-mafft-cds.fa	193	367	293.6839378238342	191	1	85	0	2	340	NA	0	108	367	330.97222222222223	106	1	NA	21	0	154	NA
ENSMUSP00000028020-mafft-cds.fa	193	492	449.6165803108808	193	0	17	0	0	492	NA	5	176	487	459.40340909090907	176	0	NA	10	0	216	NA
ENSMUSP00000109881-mafft-cds.fa	193	1266	740.1088082901555	193	0	192	0	28	1266	NA	0	1	1266	1047.0	1	0	NA	1266	0	0	NA
ENSMUSP00000031347-mafft-cds.fa	191	187	164.0104712041885	187	2	29	0	0	187	NA	0	162	187	174.15432098765433	158	2	NA	6	0	68	NA
ENSMUSP00000148964-mafft-cds.fa	2	322	222.5	2	0	1	99	0	0	NA	0	1	322	322.0	1	0	NA	322	0	0	NA
ENSMUSP00000001806-mafft-cds.fa	193	562	528.7461139896373	189	2	9	10	1	408	NA	0	184	562	542.429347826087	180	2	NA	15	1	199	NA
ENSMUSP00000099760-mafft-cds.fa	193	473	404.04663212435236	193	0	34	1	25	367	NA	24	159	449	416.37735849056605	159	0	NA	6	21	185	NA
ENSMUSP00000140864-mafft-cds.fa	194	441	402.8298969072165	194	0	12	0	0	441	NA	0	182	441	411.7142857142857	182	0	NA	21	0	172	NA
ENSMUSP00000028656-mafft-cds.fa	193	316	239.17098445595855	193	0	89	0	0	316	NA	0	104	316	288.4326923076923	104	0	NA	12	0	122	NA
ENSMUSP00000045154-mafft-cds.fa	193	330	216.8341968911917	189	2	157	0	2	330	NA	0	36	330	291.3888888888889	36	0	NA	100	0	56	NA
ENSMUSP00000055528-mafft-cds.fa	193	161	154.7979274611399	174	7	12	1	0	110	NA	4	181	157	156.31491712707182	162	7	NA	5	0	34	NA
ENSMUSP00000097428-mafft-cds.fa	11	318	198.1818181818182	11	0	10	0	0	191	NA	0	1	318	318.0	1	0	NA	318	0	0	NA
ENSMUSP00000125746-mafft-cds.fa	193	384	301.2746113989637	191	1	75	0	1	384	NA	0	118	384	329.40677966101697	116	1	NA	18	1	115	NA
ENSMUSP00000031349-mafft-cds.fa	192	250	238.34375	192	0	10	0	1	197	NA	10	182	240	239.02197802197801	180	1	NA	2	0	59	NA
ENSMUSP00000119606-mafft-cds.fa	194	424	346.5927835051546	181	5	33	8	0	382	NA	0	161	424	358.3167701863354	148	5	NA	64	0	162	NA
ENSMUSP00000028340-mafft-cds.fa	191	138	123.72774869109948	173	9	40	0	0	96	NA	4	151	134	131.2980132450331	137	7	NA	20	0	21	NA
ENSMUSP00000139667-mafft-cds.fa	194	347	305.19072164948454	194	0	37	0	0	309	NA	0	157	347	320.78343949044586	157	0	NA	0	0	190	NA
ENSMUSP00000106166-mafft-cds.fa	192	338	246.46354166666666	192	0	103	0	0	338	NA	0	89	338	301.2696629213483	89	0	NA	16	0	171	NA
ENSMUSP00000105358-mafft-cds.fa	194	299	275.9587628865979	185	4	20	4	0	259	NA	0	174	299	284.92528735632186	165	4	NA	6	0	142	NA
ENSMUSP00000099360-mafft-cds.fa	193	212	203.38860103626942	178	7	19	0	0	212	NA	0	174	212	211.52298850574712	159	7	NA	16	0	22	NA
ENSMUSP00000106809-mafft-cds.fa	192	827	527.4270833333334	192	0	176	0	0	827	NA	0	16	827	700.125	16	0	NA	301	0	238	NA
ENSMUSP00000122288-mafft-cds.fa	192	160	110.0	158	13	76	0	0	160	NA	0	116	160	135.25	102	6	NA	34	0	30	NA
ENSMUSP00000153308-mafft-cds.fa	193	461	386.51295336787564	193	0	54	0	0	433	NA	0	139	461	419.8848920863309	139	0	NA	12	0	170	NA
ENSMUSP00000030915-mafft-cds.fa	192	466	305.421875	190	1	148	0	1	466	NA	0	44	466	400.75	42	1	NA	41	0	246	NA
ENSMUSP00000120759-mafft-cds.fa	192	210	145.39583333333334	180	5	109	0	0	210	NA	0	83	210	188.04819277108433	81	1	NA	15	0	104	NA
ENSMUSP00000048239-mafft-cds.fa	192	281	205.30729166666666	185	3	95	0	9	281	NA	0	97	281	251.76288659793815	90	3	NA	25	4	89	NA
ENSMUSP00000145942-mafft-cds.fa	144	162	153.58333333333334	118	12	11	0	5	162	NA	5	133	157	156.90977443609023	107	12	NA	50	4	4	NA
ENSMUSP00000027974-mafft-cds.fa	193	692	417.83937823834196	193	0	183	0	1	692	NA	0	10	692	611.2	10	0	NA	276	0	133	NA
ENSMUSP00000105561-mafft-cds.fa	193	258	243.93264248704662	186	3	8	0	0	232	NA	0	185	258	247.38378378378377	178	3	NA	13	0	74	NA
ENSMUSP00000043138-mafft-cds.fa	194	1064	930.9329896907217	194	0	23	1	5	847	NA	62	171	1002	945.9298245614035	171	0	NA	29	5	575	NA
ENSMUSP00000123990-mafft-cds.fa	192	252	186.43229166666666	190	1	110	0	1	252	NA	0	82	252	232.14634146341464	82	0	NA	8	0	108	NA
